Record Length,Analog:10000000
Sample Rate,5000000.0
Vertical Scale,CH1:+1.000000E+001
Vertical Offset,CH1:-4.066666E+001
Horizontal Scale,+2.000000E-001
Second,Volt,
-1.979998E-001,+4.583308E-001,
-1.979996E-001,+4.583308E-001,
-1.979994E-001,+4.166641E-001,
-1.979992E-001,+3.958308E-001,
-1.979990E-001,+4.374975E-001,
-1.979988E-001,+4.166641E-001,
-1.979986E-001,+4.583308E-001,
-1.979984E-001,+4.791641E-001,
-1.979982E-001,+4.999975E-001,
-1.979980E-001,+4.374975E-001,
-1.979978E-001,+4.583308E-001,
-1.979976E-001,+4.374975E-001,
-1.979974E-001,+3.749975E-001,
-1.979972E-001,+4.166641E-001,
-1.979970E-001,+4.583308E-001,
-1.979968E-001,+4.583308E-001,
-1.979966E-001,+4.583308E-001,
-1.979964E-001,+4.999975E-001,
-1.979962E-001,+4.583308E-001,
-1.979960E-001,+4.374975E-001,
-1.979958E-001,+3.958308E-001,
-1.979956E-001,+4.374975E-001,
-1.979954E-001,+4.166641E-001,
-1.979952E-001,+4.583308E-001,
-1.979950E-001,+4.791641E-001,
-1.979948E-001,+4.374975E-001,
-1.979946E-001,+4.374975E-001,
-1.979944E-001,+4.374975E-001,
-1.979942E-001,+3.958308E-001,
-1.979940E-001,+3.958308E-001,
-1.979938E-001,+4.374975E-001,
-1.979936E-001,+4.583308E-001,
-1.979934E-001,+4.791641E-001,
-1.979932E-001,+4.374975E-001,
-1.979930E-001,+4.583308E-001,
-1.979928E-001,+4.374975E-001,
-1.979926E-001,+4.791641E-001,
-1.979924E-001,+4.583308E-001,
-1.979922E-001,+4.166641E-001,
-1.979920E-001,+3.749975E-001,
-1.979918E-001,+4.374975E-001,
-1.979916E-001,+4.999975E-001,
-1.979914E-001,+4.583308E-001,
-1.979912E-001,+4.166641E-001,
-1.979910E-001,+4.374975E-001,
-1.979908E-001,+4.583308E-001,
-1.979906E-001,+4.374975E-001,
-1.979904E-001,+4.374975E-001,
-1.979902E-001,+4.583308E-001,
-1.979900E-001,+4.166641E-001,
-1.979898E-001,+4.374975E-001,
-1.979896E-001,+4.583308E-001,
-1.979894E-001,+4.374975E-001,
-1.979892E-001,+4.583308E-001,
-1.979890E-001,+4.166641E-001,
-1.979888E-001,+4.166641E-001,
-1.979886E-001,+4.374975E-001,
-1.979884E-001,+4.166641E-001,
-1.979882E-001,+4.583308E-001,
-1.979880E-001,+3.958308E-001,
-1.979878E-001,+4.374975E-001,
-1.979876E-001,+4.791641E-001,
-1.979874E-001,+4.583308E-001,
-1.979872E-001,+4.583308E-001,
-1.979870E-001,+4.791641E-001,
-1.979868E-001,+4.583308E-001,
-1.979866E-001,+4.583308E-001,
-1.979864E-001,+4.374975E-001,
-1.979862E-001,+4.166641E-001,
-1.979860E-001,+4.166641E-001,
-1.979858E-001,+4.583308E-001,
-1.979856E-001,+3.749975E-001,
-1.979854E-001,+4.999975E-001,
-1.979852E-001,+4.374975E-001,
-1.979850E-001,+4.583308E-001,
-1.979848E-001,+4.374975E-001,
-1.979846E-001,+4.374975E-001,
-1.979844E-001,+4.583308E-001,
-1.979842E-001,+4.583308E-001,
-1.979840E-001,+3.749975E-001,
-1.979838E-001,+4.166641E-001,
-1.979836E-001,+4.374975E-001,
-1.979834E-001,+3.958308E-001,
-1.979832E-001,+4.999975E-001,
-1.979830E-001,+4.374975E-001,
-1.979828E-001,+4.791641E-001,
-1.979826E-001,+4.166641E-001,
-1.979824E-001,+4.374975E-001,
-1.979822E-001,+3.958308E-001,
-1.979820E-001,+4.999975E-001,
-1.979818E-001,+4.583308E-001,
-1.979816E-001,+4.791641E-001,
-1.979814E-001,+4.791641E-001,
-1.979812E-001,+4.166641E-001,
-1.979810E-001,+4.791641E-001,
-1.979808E-001,+4.791641E-001,
-1.979806E-001,+4.583308E-001,
-1.979804E-001,+4.791641E-001,
-1.979802E-001,+4.583308E-001,
-1.979800E-001,+4.791641E-001,
-1.979798E-001,+3.958308E-001,
-1.979796E-001,+4.583308E-001,
-1.979794E-001,+4.374975E-001,
-1.979792E-001,+4.583308E-001,
-1.979790E-001,+4.166641E-001,
-1.979788E-001,+4.166641E-001,
-1.979786E-001,+4.374975E-001,
-1.979784E-001,+4.374975E-001,
-1.979782E-001,+4.374975E-001,
-1.979780E-001,+4.791641E-001,
-1.979778E-001,+4.583308E-001,
-1.979776E-001,+4.374975E-001,
-1.979774E-001,+4.999975E-001,
-1.979772E-001,+4.583308E-001,
-1.979770E-001,+4.166641E-001,
-1.979768E-001,+4.791641E-001,
-1.979766E-001,+4.583308E-001,
-1.979764E-001,+3.958308E-001,
-1.979762E-001,+4.583308E-001,
-1.979760E-001,+4.583308E-001,
-1.979758E-001,+4.374975E-001,
-1.979756E-001,+4.374975E-001,
-1.979754E-001,+4.999975E-001,
-1.979752E-001,+4.374975E-001,
-1.979750E-001,+4.374975E-001,
-1.979748E-001,+4.166641E-001,
-1.979746E-001,+4.374975E-001,
-1.979744E-001,+4.374975E-001,
-1.979742E-001,+4.583308E-001,
-1.979740E-001,+4.791641E-001,
-1.979738E-001,+4.583308E-001,
-1.979736E-001,+5.208308E-001,
-1.979734E-001,+4.166641E-001,
-1.979732E-001,+4.791641E-001,
-1.979730E-001,+4.166641E-001,
-1.979728E-001,+4.583308E-001,
-1.979726E-001,+4.583308E-001,
-1.979724E-001,+4.791641E-001,
-1.979722E-001,+4.166641E-001,
-1.979720E-001,+4.791641E-001,
-1.979718E-001,+4.999975E-001,
-1.979716E-001,+4.583308E-001,
-1.979714E-001,+3.958308E-001,
-1.979712E-001,+4.166641E-001,
-1.979710E-001,+3.958308E-001,
-1.979708E-001,+4.374975E-001,
-1.979706E-001,+4.791641E-001,
-1.979704E-001,+4.791641E-001,
-1.979702E-001,+4.166641E-001,
-1.979700E-001,+5.208308E-001,
-1.979698E-001,+4.374975E-001,
-1.979696E-001,+4.791641E-001,
-1.979694E-001,+4.374975E-001,
-1.979692E-001,+4.583308E-001,
-1.979690E-001,+4.583308E-001,
-1.979688E-001,+4.583308E-001,
-1.979686E-001,+4.791641E-001,
-1.979684E-001,+3.958308E-001,
-1.979682E-001,+4.999975E-001,
-1.979680E-001,+4.583308E-001,
-1.979678E-001,+4.583308E-001,
-1.979676E-001,+4.166641E-001,
-1.979674E-001,+4.374975E-001,
-1.979672E-001,+4.374975E-001,
-1.979670E-001,+4.166641E-001,
-1.979668E-001,+4.791641E-001,
-1.979666E-001,+4.166641E-001,
-1.979664E-001,+4.583308E-001,
-1.979662E-001,+4.374975E-001,
-1.979660E-001,+4.166641E-001,
-1.979658E-001,+4.791641E-001,
-1.979656E-001,+4.999975E-001,
-1.979654E-001,+4.166641E-001,
-1.979652E-001,+4.374975E-001,
-1.979650E-001,+4.374975E-001,
-1.979648E-001,+4.374975E-001,
-1.979646E-001,+4.999975E-001,
-1.979644E-001,+4.791641E-001,
-1.979642E-001,+4.374975E-001,
-1.979640E-001,+4.166641E-001,
-1.979638E-001,+4.791641E-001,
-1.979636E-001,+4.374975E-001,
-1.979634E-001,+4.166641E-001,
-1.979632E-001,+4.166641E-001,
-1.979630E-001,+4.583308E-001,
-1.979628E-001,+4.374975E-001,
-1.979626E-001,+4.999975E-001,
-1.979624E-001,+4.999975E-001,
-1.979622E-001,+4.791641E-001,
-1.979620E-001,+4.583308E-001,
-1.979618E-001,+4.583308E-001,
-1.979616E-001,+4.166641E-001,
-1.979614E-001,+4.583308E-001,
-1.979612E-001,+4.374975E-001,
-1.979610E-001,+3.958308E-001,
-1.979608E-001,+4.583308E-001,
-1.979606E-001,+4.999975E-001,
-1.979604E-001,+4.374975E-001,
-1.979602E-001,+4.583308E-001,
-1.979600E-001,+4.374975E-001,
-1.979598E-001,+4.374975E-001,
-1.979596E-001,+4.583308E-001,
-1.979594E-001,+5.416641E-001,
-1.979592E-001,+5.208308E-001,
-1.979590E-001,+4.583308E-001,
-1.979588E-001,+4.791641E-001,
-1.979586E-001,+4.583308E-001,
-1.979584E-001,+4.791641E-001,
-1.979582E-001,+4.791641E-001,
-1.979580E-001,+4.166641E-001,
-1.979578E-001,+4.583308E-001,
-1.979576E-001,+4.166641E-001,
-1.979574E-001,+4.583308E-001,
-1.979572E-001,+3.958308E-001,
-1.979570E-001,+4.374975E-001,
-1.979568E-001,+4.583308E-001,
-1.979566E-001,+3.958308E-001,
-1.979564E-001,+4.583308E-001,
-1.979562E-001,+4.791641E-001,
-1.979560E-001,+4.374975E-001,
-1.979558E-001,+4.374975E-001,
-1.979556E-001,+4.791641E-001,
-1.979554E-001,+4.583308E-001,
-1.979552E-001,+3.958308E-001,
-1.979550E-001,+4.583308E-001,
-1.979548E-001,+4.166641E-001,
-1.979546E-001,+4.374975E-001,
-1.979544E-001,+4.166641E-001,
-1.979542E-001,+4.999975E-001,
-1.979540E-001,+4.583308E-001,
-1.979538E-001,+4.583308E-001,
-1.979536E-001,+4.583308E-001,
-1.979534E-001,+3.958308E-001,
-1.979532E-001,+4.583308E-001,
-1.979530E-001,+4.166641E-001,
-1.979528E-001,+4.374975E-001,
-1.979526E-001,+4.791641E-001,
-1.979524E-001,+4.374975E-001,
-1.979522E-001,+4.374975E-001,
-1.979520E-001,+4.583308E-001,
-1.979518E-001,+4.791641E-001,
-1.979516E-001,+4.583308E-001,
-1.979514E-001,+4.791641E-001,
-1.979512E-001,+4.583308E-001,
-1.979510E-001,+4.374975E-001,
-1.979508E-001,+4.583308E-001,
-1.979506E-001,+4.583308E-001,
-1.979504E-001,+4.374975E-001,
-1.979502E-001,+4.791641E-001,
-1.979500E-001,+4.791641E-001,
-1.979498E-001,+4.583308E-001,
-1.979496E-001,+4.583308E-001,
-1.979494E-001,+4.374975E-001,
-1.979492E-001,+4.166641E-001,
-1.979490E-001,+4.791641E-001,
-1.979488E-001,+4.791641E-001,
-1.979486E-001,+4.166641E-001,
-1.979484E-001,+3.958308E-001,
-1.979482E-001,+4.791641E-001,
-1.979480E-001,+4.374975E-001,
-1.979478E-001,+3.958308E-001,
-1.979476E-001,+4.166641E-001,
-1.979474E-001,+4.374975E-001,
-1.979472E-001,+4.583308E-001,
-1.979470E-001,+4.374975E-001,
-1.979468E-001,+4.374975E-001,
-1.979466E-001,+4.374975E-001,
-1.979464E-001,+4.583308E-001,
-1.979462E-001,+4.166641E-001,
-1.979460E-001,+4.374975E-001,
-1.979458E-001,+4.374975E-001,
-1.979456E-001,+4.583308E-001,
-1.979454E-001,+4.374975E-001,
-1.979452E-001,+4.583308E-001,
-1.979450E-001,+4.374975E-001,
-1.979448E-001,+4.791641E-001,
-1.979446E-001,+4.374975E-001,
-1.979444E-001,+4.374975E-001,
-1.979442E-001,+4.583308E-001,
-1.979440E-001,+4.166641E-001,
-1.979438E-001,+4.166641E-001,
-1.979436E-001,+4.374975E-001,
-1.979434E-001,+4.583308E-001,
-1.979432E-001,+4.374975E-001,
-1.979430E-001,+4.374975E-001,
-1.979428E-001,+4.583308E-001,
-1.979426E-001,+4.791641E-001,
-1.979424E-001,+4.583308E-001,
-1.979422E-001,+4.374975E-001,
-1.979420E-001,+4.583308E-001,
-1.979418E-001,+4.374975E-001,
-1.979416E-001,+4.791641E-001,
-1.979414E-001,+4.166641E-001,
-1.979412E-001,+3.749975E-001,
-1.979410E-001,+4.583308E-001,
-1.979408E-001,+4.583308E-001,
-1.979406E-001,+4.791641E-001,
-1.979404E-001,+4.374975E-001,
-1.979402E-001,+4.166641E-001,
-1.979400E-001,+4.374975E-001,
-1.979398E-001,+4.583308E-001,
-1.979396E-001,+4.374975E-001,
-1.979394E-001,+3.958308E-001,
-1.979392E-001,+4.374975E-001,
-1.979390E-001,+4.166641E-001,
-1.979388E-001,+4.583308E-001,
-1.979386E-001,+4.374975E-001,
-1.979384E-001,+4.374975E-001,
-1.979382E-001,+4.166641E-001,
-1.979380E-001,+4.374975E-001,
-1.979378E-001,+3.958308E-001,
-1.979376E-001,+4.374975E-001,
-1.979374E-001,+4.791641E-001,
-1.979372E-001,+4.583308E-001,
-1.979370E-001,+4.374975E-001,
-1.979368E-001,+4.999975E-001,
-1.979366E-001,+5.208308E-001,
-1.979364E-001,+3.958308E-001,
-1.979362E-001,+4.583308E-001,
-1.979360E-001,+4.374975E-001,
-1.979358E-001,+4.374975E-001,
-1.979356E-001,+4.583308E-001,
-1.979354E-001,+4.374975E-001,
-1.979352E-001,+4.166641E-001,
-1.979350E-001,+4.583308E-001,
-1.979348E-001,+4.791641E-001,
-1.979346E-001,+4.583308E-001,
-1.979344E-001,+4.374975E-001,
-1.979342E-001,+4.791641E-001,
-1.979340E-001,+4.583308E-001,
-1.979338E-001,+4.374975E-001,
-1.979336E-001,+4.583308E-001,
-1.979334E-001,+4.583308E-001,
-1.979332E-001,+4.374975E-001,
-1.979330E-001,+4.374975E-001,
-1.979328E-001,+4.583308E-001,
-1.979326E-001,+3.958308E-001,
-1.979324E-001,+4.791641E-001,
-1.979322E-001,+4.583308E-001,
-1.979320E-001,+4.374975E-001,
-1.979318E-001,+4.791641E-001,
-1.979316E-001,+4.999975E-001,
-1.979314E-001,+4.166641E-001,
-1.979312E-001,+4.791641E-001,
-1.979310E-001,+4.583308E-001,
-1.979308E-001,+4.791641E-001,
-1.979306E-001,+4.166641E-001,
-1.979304E-001,+4.583308E-001,
-1.979302E-001,+4.166641E-001,
-1.979300E-001,+4.374975E-001,
-1.979298E-001,+4.791641E-001,
-1.979296E-001,+4.583308E-001,
-1.979294E-001,+4.166641E-001,
-1.979292E-001,+4.791641E-001,
-1.979290E-001,+4.374975E-001,
-1.979288E-001,+4.791641E-001,
-1.979286E-001,+4.791641E-001,
-1.979284E-001,+4.583308E-001,
-1.979282E-001,+4.374975E-001,
-1.979280E-001,+4.374975E-001,
-1.979278E-001,+4.166641E-001,
-1.979276E-001,+4.166641E-001,
-1.979274E-001,+4.583308E-001,
-1.979272E-001,+4.374975E-001,
-1.979270E-001,+4.791641E-001,
-1.979268E-001,+4.166641E-001,
-1.979266E-001,+4.999975E-001,
-1.979264E-001,+4.791641E-001,
-1.979262E-001,+4.374975E-001,
-1.979260E-001,+4.583308E-001,
-1.979258E-001,+4.583308E-001,
-1.979256E-001,+4.583308E-001,
-1.979254E-001,+4.374975E-001,
-1.979252E-001,+4.374975E-001,
-1.979250E-001,+4.583308E-001,
-1.979248E-001,+4.166641E-001,
-1.979246E-001,+3.749975E-001,
-1.979244E-001,+4.583308E-001,
-1.979242E-001,+4.374975E-001,
-1.979240E-001,+4.374975E-001,
-1.979238E-001,+4.166641E-001,
-1.979236E-001,+4.583308E-001,
-1.979234E-001,+4.999975E-001,
-1.979232E-001,+4.166641E-001,
-1.979230E-001,+4.166641E-001,
-1.979228E-001,+4.374975E-001,
-1.979226E-001,+4.583308E-001,
-1.979224E-001,+4.374975E-001,
-1.979222E-001,+4.791641E-001,
-1.979220E-001,+4.583308E-001,
-1.979218E-001,+4.374975E-001,
-1.979216E-001,+3.958308E-001,
-1.979214E-001,+4.583308E-001,
-1.979212E-001,+4.166641E-001,
-1.979210E-001,+4.166641E-001,
-1.979208E-001,+4.791641E-001,
-1.979206E-001,+4.374975E-001,
-1.979204E-001,+4.374975E-001,
-1.979202E-001,+4.583308E-001,
-1.979200E-001,+4.166641E-001,
-1.979198E-001,+4.374975E-001,
-1.979196E-001,+4.374975E-001,
-1.979194E-001,+4.166641E-001,
-1.979192E-001,+4.166641E-001,
-1.979190E-001,+4.791641E-001,
-1.979188E-001,+4.583308E-001,
-1.979186E-001,+4.166641E-001,
-1.979184E-001,+3.749975E-001,
-1.979182E-001,+4.374975E-001,
-1.979180E-001,+4.791641E-001,
-1.979178E-001,+4.791641E-001,
-1.979176E-001,+4.583308E-001,
-1.979174E-001,+4.583308E-001,
-1.979172E-001,+4.791641E-001,
-1.979170E-001,+4.166641E-001,
-1.979168E-001,+4.791641E-001,
-1.979166E-001,+4.999975E-001,
-1.979164E-001,+4.583308E-001,
-1.979162E-001,+4.583308E-001,
-1.979160E-001,+4.583308E-001,
-1.979158E-001,+4.791641E-001,
